scenario,map_file,warning_scope,robot_radius_m,min_center_distance_m,min_clearance_margin_m,warning_threshold_m,classification,planner_attribution_boundary,repair_follow_up
classic_cross_trap_high,maps/svg_maps/classic_crossing.svg,scenario,1.0,1.013277,0.013277,0.5,scenario_geometry_caveat,Usable only as a constrained low-clearance scenario; do not attribute static-clearance-sensitive failures without trace/certification evidence,#1105
classic_cross_trap_low,maps/svg_maps/classic_crossing.svg,scenario,1.0,1.013277,0.013277,0.5,scenario_geometry_caveat,Usable only as a constrained low-clearance scenario; do not attribute static-clearance-sensitive failures without trace/certification evidence,#1105
classic_cross_trap_medium,maps/svg_maps/classic_crossing.svg,scenario,1.0,1.013277,0.013277,0.5,scenario_geometry_caveat,Usable only as a constrained low-clearance scenario; do not attribute static-clearance-sensitive failures without trace/certification evidence,#1105
classic_doorway_high,maps/svg_maps/classic_doorway.svg,scenario,1.0,1.012233,0.012233,0.5,scenario_geometry_caveat,Usable only as a constrained low-clearance scenario; do not attribute static-clearance-sensitive failures without trace/certification evidence,#1105
classic_doorway_low,maps/svg_maps/classic_doorway.svg,scenario,1.0,1.012233,0.012233,0.5,scenario_geometry_caveat,Usable only as a constrained low-clearance scenario; do not attribute static-clearance-sensitive failures without trace/certification evidence,#1105
classic_doorway_medium,maps/svg_maps/classic_doorway.svg,scenario,1.0,1.012233,0.012233,0.5,scenario_geometry_caveat,Usable only as a constrained low-clearance scenario; do not attribute static-clearance-sensitive failures without trace/certification evidence,#1105
classic_merging_low,maps/svg_maps/classic_merging.svg,scenario,1.0,0.0,-1.0,0.5,benchmark_blocking_geometry_issue,Unsafe for planner attribution until route/obstacle overlap is repaired or explicitly excluded,#1105
classic_merging_medium,maps/svg_maps/classic_merging.svg,scenario,1.0,0.0,-1.0,0.5,benchmark_blocking_geometry_issue,Unsafe for planner attribution until route/obstacle overlap is repaired or explicitly excluded,#1105
classic_overtaking_low,maps/svg_maps/classic_overtaking.svg,scenario,1.0,1.326555,0.326555,0.5,scenario_geometry_caveat,Usable for general planner comparisons with low-clearance caveat; avoid static-clearance claims without trace evidence,#1105
classic_overtaking_medium,maps/svg_maps/classic_overtaking.svg,scenario,1.0,1.326555,0.326555,0.5,scenario_geometry_caveat,Usable for general planner comparisons with low-clearance caveat; avoid static-clearance claims without trace evidence,#1105
classic_station_platform_medium,maps/svg_maps/classic_station_platform.svg,scenario,1.0,0.0,-1.0,0.5,benchmark_blocking_geometry_issue,Unsafe for planner attribution until route/obstacle overlap is repaired or explicitly excluded,#1105
classic_t_intersection_low,maps/svg_maps/classic_t_intersection.svg,scenario,1.0,1.288118,0.288118,0.5,scenario_geometry_caveat,Usable for general planner comparisons with low-clearance caveat; avoid static-clearance claims without trace evidence,#1105
classic_t_intersection_medium,maps/svg_maps/classic_t_intersection.svg,scenario,1.0,1.288118,0.288118,0.5,scenario_geometry_caveat,Usable for general planner comparisons with low-clearance caveat; avoid static-clearance claims without trace evidence,#1105
francis2023_entering_elevator,maps/svg_maps/francis2023/francis2023_entering_elevator.svg,scenario,1.0,1.0,0.0,0.5,scenario_geometry_caveat,Unsafe for positive-clearance claims; planner attribution requires explicit tangent-geometry caveat,#1105
francis2023_entering_room,maps/svg_maps/francis2023/francis2023_entering_room.svg,scenario,1.0,1.0,0.0,0.5,scenario_geometry_caveat,Unsafe for positive-clearance claims; planner attribution requires explicit tangent-geometry caveat,#1105
francis2023_exiting_elevator,maps/svg_maps/francis2023/francis2023_exiting_elevator.svg,scenario,1.0,1.0,0.0,0.5,scenario_geometry_caveat,Unsafe for positive-clearance claims; planner attribution requires explicit tangent-geometry caveat,#1105
francis2023_exiting_room,maps/svg_maps/francis2023/francis2023_exiting_room.svg,scenario,1.0,1.0,0.0,0.5,scenario_geometry_caveat,Unsafe for positive-clearance claims; planner attribution requires explicit tangent-geometry caveat,#1105
francis2023_narrow_doorway,maps/svg_maps/francis2023/francis2023_narrow_doorway.svg,scenario,1.0,1.0,0.0,0.5,scenario_geometry_caveat,Unsafe for positive-clearance claims; planner attribution requires explicit tangent-geometry caveat,#1105
