contract_id,boundary_type,boundary_id,status,evidence_rows,caveated_rows,reason
low_speed_public_space_v1,supported_claim,benchmark_evidence_boundary,covered,21,0,linked scenario contracts have non-caveated executed row evidence
low_speed_public_space_v1,supported_claim,counterexample_operating_assumptions,covered,21,0,linked scenario contracts have non-caveated executed row evidence
low_speed_public_space_v1,excluded_claim,safety_certification,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,legal_compliance,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,real_world_deployment_readiness,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,public-road autonomy,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,wet_or_icy_surface_dynamics,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,vehicle_traffic_interaction,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,legal_safety_certification,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
low_speed_public_space_v1,excluded_claim,human_subject_acceptability_validation,excluded,0,0,ODD contract explicitly excludes this claim or operating condition
